id,age,income,debt,credit_score,delinquent
125,32,28656.58,12226.33,710,0
126,51,39450.90,13558.27,683,0
127,54,33044.81,27543.13,635,0
128,43,34871.77,14049.21,679,0
129,53,42300.81,16784.04,749,0
130,50,39986.91,3789.91,626,0
131,58,28984.00,18550.82,568,0
132,21,33460.99,24031.30,652,1
133,41,31454.87,10427.68,537,0
134,29,24556.24,11263.63,584,0
135,26,31055.34,21183.63,651,1
136,38,40684.27,6217.53,519,0
137,31,42452.60,23568.69,527,0
138,23,33470.25,10108.32,738,0
139,44,52087.21,4483.52,807,0
140,35,35596.02,19408.03,743,0
141,41,56396.48,15988.90,551,0
142,27,39949.91,16136.29,749,0
143,50,44866.78,5532.28,642,0
144,37,35815.44,16562.39,715,0
145,36,46223.61,12968.34,537,0
146,28,55150.83,7112.48,561,0
147,36,48277.68,26115.75,619,0
148,53,28233.03,20405.16,785,0
149,58,54340.00,0.00,683,1
150,32,20000.00,13239.34,704,1
151,54,22687.84,11957.08,623,0
152,59,39721.46,22124.20,640,0
153,33,35789.52,8858.65,696,0
154,41,32448.47,17038.31,694,0
155,30,35124.69,31061.68,576,0
156,40,42007.22,14262.50,483,0
157,54,50234.40,17856.17,609,1
158,25,20000.00,18000.00,590,1
159,21,39409.36,12594.72,681,0
160,58,44221.47,0.00,574,0
161,37,52786.12,5611.13,610,1
162,24,39018.06,15257.68,591,0
163,47,34141.78,27051.69,734,1
164,28,49028.58,32441.65,718,0
165,55,20000.00,14556.32,650,0
166,48,31120.94,24137.21,695,0
167,40,42594.81,12870.54,622,0
168,29,55293.40,13321.45,736,0
169,58,41671.21,16147.70,657,0
170,26,38797.15,14061.36,737,0
171,42,38469.18,18099.87,700,0
172,22,41930.71,14948.12,649,1
173,45,41440.59,33782.63,639,1
174,43,49512.74,13593.20,682,0
175,40,40885.84,10717.44,790,0
176,52,32787.62,13099.34,704,0
177,53,38242.46,14956.36,579,0
178,42,29773.79,11316.86,594,0
179,22,33303.33,10723.27,638,0
180,40,45440.96,22271.19,649,0
181,58,38806.45,15173.21,756,0
182,51,20000.00,18000.00,652,1
183,25,42544.21,6714.91,581,0
184,46,33804.12,9360.68,567,0
185,21,37855.39,15208.17,543,0
186,41,41507.14,10283.11,732,0
187,45,39982.49,24247.53,601,0
188,31,40507.43,15858.51,709,0
189,52,41789.99,18083.07,584,0
190,52,63340.85,8846.02,689,0
191,37,35615.03,16323.29,649,0
192,27,33267.25,8158.53,700,0
193,51,26958.28,13331.37,603,0
194,29,48107.06,12226.54,628,0
195,54,42618.39,15977.14,669,0
196,56,30195.11,18505.50,461,0
197,27,38360.77,4603.85,812,0
198,22,31638.43,27837.87,680,1
199,48,49776.63,18069.31,515,0
200,44,50176.20,10098.08,531,0
201,19,55067.28,10410.91,769,0
202,53,38337.07,14501.49,569,0
203,51,43499.15,16677.59,728,0
204,39,46050.63,20015.21,544,0
205,30,53687.71,24557.06,723,0
206,36,38002.33,15421.34,597,0
207,33,40881.00,13419.08,616,0
208,50,52713.71,25042.60,626,0
209,44,34457.76,6041.39,687,0
210,26,48474.77,6929.81,577,0
211,18,49633.99,15459.16,719,0
212,58,48840.64,23206.38,614,0
213,26,44602.20,26357.62,625,0
214,35,42739.00,13073.08,583,0
215,38,28585.53,4139.89,790,0
216,29,41481.71,25244.07,708,0
217,25,33698.21,20821.92,727,1
218,18,42528.21,13467.39,571,0
219,26,39896.35,14715.47,848,0
220,21,29388.59,18526.08,611,1
221,19,38162.70,5817.22,567,0
222,39,31818.12,2404.82,699,0
223,24,47815.01,2559.66,646,0
224,19,32237.75,7635.58,600,0
225,26,33950.31,9558.79,659,1
226,46,52839.81,16998.08,657,1
227,40,32939.21,13561.81,710,0
228,18,48927.08,28112.94,559,0
229,53,27722.05,22007.65,576,1
230,52,37186.72,15374.51,658,0
231,18,39494.93,18417.35,791,0
232,32,51072.79,15603.24,752,0
233,55,26289.23,23444.61,684,1
234,22,53746.40,14129.44,656,0
235,53,40380.32,12774.67,550,0
236,31,39532.98,12712.44,850,0
237,57,32964.28,16534.78,709,0
238,24,37352.79,18345.79,573,1
239,39,34872.05,12231.92,529,0
240,56,30516.28,23977.52,656,1
241,42,41656.52,23275.53,598,0
242,19,46339.97,17584.15,765,0
243,58,25286.54,3170.83,609,0
244,44,40914.14,11050.28,700,0
245,27,53549.70,7972.49,617,0
246,59,43244.49,11986.29,513,0
247,23,33016.38,22973.25,820,0
248,37,58013.55,13884.74,598,0
249,18,48329.92,11994.11,649,0
250,57,30759.01,22826.85,680,0
251,47,59909.12,22637.10,737,0
252,41,39013.70,23548.23,606,1
253,31,48328.14,17519.05,533,0
254,54,40128.37,18411.55,523,0
255,59,21750.17,14348.00,634,1
256,19,28260.62,1138.38,834,0
257,29,54516.37,205.76,596,0
258,57,26287.95,13606.11,681,0
259,46,47885.16,9142.75,774,0
260,59,43567.68,17567.79,759,0
261,42,41618.97,12028.45,645,0
262,39,30716.73,9749.70,705,0
263,31,33915.40,29665.29,680,0
264,39,42742.94,18579.90,598,0
265,20,35233.15,9327.62,565,0
266,26,42739.50,19194.83,557,0
267,49,50599.36,27526.65,746,0
268,22,20103.37,16913.35,765,1
269,36,42288.25,15384.92,580,0
270,26,43433.13,16093.64,576,0
271,47,38062.60,23500.29,836,1
272,51,47053.39,30047.96,749,1
273,49,54491.41,12401.34,631,0
274,29,37493.41,20624.20,611,0
275,29,56113.04,11573.63,666,0
276,32,40443.41,5688.81,625,1
277,35,37628.35,13890.42,524,0
278,47,45794.48,8109.39,488,0
279,58,37562.94,26212.30,539,0
280,34,38339.67,0.00,624,0
281,18,28131.48,21760.91,630,1
282,19,49510.14,12712.88,795,0
283,35,30360.52,8892.23,813,1
284,24,34706.34,13719.62,699,0
285,21,39725.05,13087.84,547,0
286,20,48261.26,5656.51,759,0
287,25,40138.39,17315.17,566,0
288,51,31217.12,8816.53,689,1
289,41,43476.64,18727.64,630,0
290,30,66167.64,5942.90,528,0
291,54,40953.39,26961.41,665,1
292,53,41553.93,16436.56,797,0
293,37,41798.51,20575.78,668,1
294,20,43570.13,15335.45,678,0
295,51,42320.27,20531.40,574,1
296,52,31891.65,0.00,782,0
297,27,35141.39,4133.88,654,0
298,30,43941.32,28334.65,626,0
299,38,57769.95,19671.07,592,0
300,21,34832.56,7399.02,652,0
301,19,54014.93,22433.31,807,0
302,54,33274.72,7830.64,712,0
303,23,27368.04,14086.94,678,0
304,44,45601.22,0.00,635,1
305,44,21139.54,18530.54,574,1
306,57,26346.69,6282.70,559,0
307,23,35763.79,15019.92,748,0
308,46,44152.55,2946.33,676,1
309,19,41225.93,9481.59,820,1
310,39,63137.21,14846.58,615,0
311,22,34272.33,15740.64,604,0
312,26,45060.21,29010.37,783,1
313,45,46429.90,8278.80,630,0
314,52,35341.10,22325.01,653,1
315,21,38594.16,16035.94,699,0
316,47,30069.14,10646.35,708,0
317,40,49776.34,23404.27,552,0
318,43,43900.44,11723.76,641,0
319,28,42025.44,20725.23,639,0
320,59,51514.29,12927.86,597,0
321,20,29882.92,17915.24,522,1
322,41,45442.15,22909.41,714,0
323,41,37983.96,12043.86,704,0
324,36,49874.23,21708.68,837,0
325,26,20511.41,11532.94,663,0
326,46,38501.24,22965.17,658,0
327,57,42237.49,9258.88,684,0
328,31,31657.05,21601.63,810,0
329,26,43534.14,26051.70,654,0
330,20,20657.91,17821.67,609,0
331,36,28504.47,14285.02,726,0
332,52,32177.51,26471.67,738,1
333,21,60284.81,11706.44,556,0
334,35,27448.92,11473.47,697,0
335,57,38580.66,15113.40,512,0
336,29,36541.22,29367.73,682,0
337,27,53192.07,11058.53,550,0
338,46,36321.68,18087.48,630,0
339,38,45698.07,0.00,531,0
340,48,40883.05,21063.27,523,0
341,36,34510.11,7289.39,718,1
342,19,37569.12,20198.97,739,0
343,57,29231.58,4472.88,834,0
344,36,46494.25,17915.62,709,0
345,32,38949.58,2499.61,569,0
346,31,51441.25,13411.27,850,0
347,39,32779.26,10810.63,708,0
348,36,44910.87,8307.31,529,0
349,50,40971.37,9352.37,701,0
350,55,36023.19,9805.39,558,0
351,56,32596.50,16298.23,646,0
352,50,47032.12,22524.15,592,0
353,40,54801.17,7044.12,657,0
354,46,32528.46,13201.79,803,0
355,34,44084.31,27138.86,685,1
356,34,28287.24,24547.55,729,1
357,47,37744.98,24700.26,761,1
358,28,58623.98,8274.96,583,0
359,24,42132.94,13963.19,682,0
360,32,26752.04,13988.96,555,0
361,47,48357.21,2018.49,690,0
362,49,51180.67,8527.21,526,0
363,36,24986.23,16277.88,679,1
364,23,44211.35,35319.11,559,0
365,59,52088.57,15590.04,687,0
366,54,29693.15,19270.95,687,1
367,59,44625.88,7947.48,708,0
368,29,25788.18,23209.36,742,0
369,54,57394.37,21770.46,666,0
370,38,38489.37,19101.64,725,0
371,54,27224.30,15470.75,558,0
372,32,55010.97,25458.18,645,0
373,48,44252.01,12749.23,588,0
374,21,39002.09,9141.31,570,0
375,34,38459.80,17807.20,686,0
376,30,44018.45,6753.61,632,0
377,32,50301.12,18711.19,647,0
378,22,36666.65,2598.53,563,0
379,19,50424.34,23542.41,715,0
380,23,40050.75,21988.50,683,0
381,19,28454.86,12665.43,608,0
382,47,39964.32,6971.80,702,0
383,32,28404.09,15430.61,673,0
384,18,31324.42,7623.58,602,0
385,47,39086.15,22506.84,748,0
386,31,32698.79,7078.89,636,0
387,54,47476.11,23344.79,655,0
388,59,51135.44,11295.05,712,0
389,49,28011.76,18004.56,627,1
390,40,40757.92,21212.13,656,0
391,27,35376.24,17021.23,610,0
392,30,37223.52,6793.44,683,0
393,43,70701.82,16394.07,695,0
394,47,43266.76,14709.74,664,0
395,19,38663.50,9651.55,771,0
396,47,32012.87,21384.91,712,1
397,57,37976.80,13380.87,665,0
398,20,35465.15,29246.09,514,1
399,44,33573.27,15510.38,781,0
400,35,37853.96,12622.11,638,0
401,37,50973.08,8861.59,598,0
402,27,38470.87,4533.51,710,0
403,19,37557.29,25941.86,519,0
404,46,45470.72,14904.23,516,0
405,27,26712.59,15327.49,580,0
406,20,26836.14,14009.57,669,0
407,45,31102.48,22630.06,620,0
408,47,39394.21,20403.45,661,0
409,47,48891.76,4072.30,661,0
410,38,51639.45,13654.14,645,0
411,27,44677.95,16236.14,676,0
412,44,49982.48,15809.88,730,0
413,35,39628.30,9318.13,770,0
414,40,38014.06,11230.36,652,0
415,49,35834.95,18630.73,791,0
416,42,40776.91,11089.50,777,0
417,43,26103.32,12880.61,602,0
418,38,41285.32,22086.53,707,0
419,22,39780.82,24094.16,644,0
420,23,44797.95,22857.17,602,0
421,47,45014.56,20210.98,850,0
422,26,39149.84,28314.09,688,1
423,19,29836.31,15659.94,588,0
424,31,38454.51,13257.50,801,1
425,19,46327.89,8387.79,650,1
426,55,34415.10,9726.26,745,0
427,34,55465.03,17653.90,620,0
428,44,29238.86,4349.43,669,1
429,24,35555.91,7201.08,668,1
430,32,31830.38,5037.14,670,0
431,33,26969.95,17251.50,620,1
432,45,42052.62,14433.23,785,1
433,23,41666.66,12727.11,612,0
434,20,30268.22,13768.11,613,0
435,43,36171.75,25000.49,550,0
436,58,41038.43,9651.53,814,0
437,20,37088.20,15641.40,708,0
438,27,39327.44,21060.94,626,0
439,22,29362.68,23455.13,567,0
440,55,34708.14,18306.60,613,0
441,35,28995.84,15372.75,577,0
442,35,35824.25,7760.90,669,1
443,41,39845.39,12467.59,599,0
444,19,36311.73,22283.63,675,1
445,23,56667.67,12623.26,579,0
446,51,38752.26,11293.13,726,0
447,19,37167.10,14804.95,686,0
448,19,34192.77,7264.13,763,0
449,46,33745.16,23683.12,654,0
450,32,49804.71,9300.16,676,0
451,42,35125.29,16305.78,575,0
452,34,65610.85,26740.73,547,0
453,30,30437.94,16323.02,630,0
454,48,42804.57,18976.77,473,1
455,38,37347.16,6571.27,569,0
456,21,25254.33,9228.96,610,1
457,50,34865.57,26859.08,703,0
458,44,44152.30,12057.31,454,1
459,42,43881.06,24282.86,675,0
460,59,29955.33,19623.43,572,0
461,31,30048.65,17059.75,590,0
462,40,57697.85,13058.87,664,0
463,50,50541.59,24530.60,687,1
464,38,25407.35,20187.46,553,0
465,58,56382.74,7473.23,690,0
466,43,29585.66,17560.46,618,1
467,31,29984.36,9995.27,798,0
468,34,50171.37,15368.77,672,0
469,28,48878.73,33140.22,607,1
470,50,46173.33,20015.12,625,0
471,39,43519.70,19261.90,528,0
472,22,56276.82,15647.12,737,1
473,57,43348.12,2363.59,759,0
474,21,35389.90,21709.18,597,0
475,43,32600.87,19073.25,672,0
476,18,27673.45,13513.04,655,0
477,58,35732.55,9016.16,684,0
478,40,28185.04,9291.27,632,0
479,52,31291.08,21352.64,627,0
480,56,48820.56,14909.21,662,0
481,28,59015.25,3252.60,711,1
482,49,56707.45,999.05,630,0
483,44,26885.86,5946.58,528,0
484,49,41529.95,8679.79,593,0
485,26,46928.22,21020.33,673,0
486,27,44004.66,11407.42,674,0
487,46,44005.56,19602.82,591,0
488,27,40694.12,16545.90,583,0
489,46,27326.59,16006.79,507,0
490,37,55746.42,10880.19,552,0
491,32,37887.91,12933.12,711,0
492,22,70874.53,9466.64,645,0
493,53,41522.54,15892.22,581,0
494,59,20000.00,18000.00,560,1
495,21,38068.48,9865.03,705,0
496,33,40285.78,20751.48,680,1
497,27,40261.22,20367.67,549,0
498,50,20000.00,525.90,604,0
499,26,33987.31,9897.19,747,0
500,28,29006.03,16234.71,751,0
501,56,54378.91,18412.61,611,0
502,32,41980.23,18624.90,630,0
503,56,35777.08,32199.38,730,0
504,48,29955.48,18011.86,647,1
505,58,24859.78,8845.82,654,1
506,35,32313.16,12582.82,576,0
507,36,45673.09,22024.99,809,0
508,41,47151.23,7637.59,733,0
509,38,58965.48,15761.12,659,0
510,24,46600.04,11815.50,601,0
511,24,33926.66,11100.81,668,0
512,51,42575.05,30054.19,733,1
513,57,34008.44,16655.52,649,0
514,41,37984.67,19731.37,626,0
515,38,44252.70,19365.98,646,0
516,31,43684.70,12978.99,668,0
517,36,52272.91,5927.46,566,0
518,39,37402.59,26988.76,547,0
519,23,40439.66,19924.45,655,0
520,59,29713.87,24164.51,536,1
521,53,32496.11,6620.11,656,0
522,39,35403.83,6470.82,522,0
523,56,59719.79,20693.65,726,0
524,49,52891.41,13312.75,634,0
525,47,27237.93,12123.01,600,0
526,35,35932.27,5961.63,667,0
527,49,31149.56,6392.19,669,0
528,49,30965.18,13328.89,707,0
529,29,46149.29,6652.10,704,0
530,25,37762.95,6499.57,696,0
531,42,51022.65,12962.31,595,0
532,54,30080.10,18691.46,590,1
533,54,28640.80,13813.26,822,1
534,34,51920.28,23703.25,612,0
535,54,37502.43,17151.86,651,0
536,44,42540.15,20647.96,778,0
537,21,20000.00,13419.04,609,1
538,51,34921.15,10645.69,769,0
539,51,31402.09,20298.82,557,1
540,28,45928.88,18856.62,680,0
541,44,30135.55,14265.42,636,0
542,56,47454.81,10111.52,697,0
543,22,48433.54,6542.23,747,0
544,41,41485.13,3749.46,762,0
545,38,47395.04,24557.62,746,0
546,24,31640.81,24368.63,591,1
547,25,38505.07,10841.43,722,0
548,58,25466.58,22919.93,552,1
549,39,31882.75,6615.33,614,0
550,46,34811.34,7468.24,637,0
551,29,52590.57,7750.91,635,1
552,25,41813.97,15526.30,631,0
553,53,50196.86,4955.73,539,0
554,58,32145.26,20758.06,660,0
555,38,48660.02,14123.12,655,0
556,49,30863.94,14505.40,535,1
557,42,42778.66,4879.83,572,0
558,18,37167.55,16021.44,600,0
559,44,46234.50,17280.44,589,0
560,38,38217.40,9679.29,598,0
561,41,34884.03,13509.99,666,0
562,31,32826.76,23080.01,769,1
563,56,51603.54,16912.94,651,0
564,52,40359.98,5567.86,557,0
565,33,56430.58,14135.65,590,0
566,39,27384.26,11676.80,630,0
567,23,39219.03,21618.09,676,0
568,30,50853.95,13398.14,736,0
569,40,41619.25,24289.34,654,0
570,48,53442.35,17119.49,669,0
571,20,37999.18,15795.96,850,0
572,39,27450.03,21927.88,669,1
573,20,38125.67,25827.56,528,1
574,58,49952.30,11026.20,646,0
575,44,48112.90,10305.18,623,0
576,46,32368.00,7416.21,742,0
577,22,35066.40,18771.32,672,0
578,38,42455.69,21866.29,578,0
579,33,30881.59,12716.61,727,0
580,31,47841.95,6770.11,715,0
581,55,46425.97,13821.64,644,0
582,30,42597.10,18624.53,587,0
583,49,29136.30,12386.24,675,0
584,51,45995.57,15474.32,547,1
585,52,29854.31,23446.93,771,1
586,29,42159.10,12066.07,660,0
587,49,57728.70,14729.26,516,0
588,37,21699.09,19529.18,638,1
589,36,38393.38,19120.53,690,0
590,27,39669.26,15910.11,670,0
591,49,33784.04,21519.69,493,0
592,22,39963.98,25835.14,663,1
593,45,58473.66,26983.90,449,0
594,23,39467.15,10853.96,599,0
595,32,28224.36,17834.17,766,0
596,37,48037.47,20926.53,631,0
597,30,54560.45,9812.95,633,0
598,22,35284.82,15333.71,724,1
599,30,53780.88,9115.44,651,0
600,31,53316.81,6066.80,748,0
601,30,42722.24,7369.00,605,0
602,45,50877.46,5025.51,763,0
603,24,36853.69,16760.16,561,0
604,18,44703.77,18905.53,552,0
605,26,47015.44,23261.32,607,0
606,37,21269.26,19142.33,702,1
607,31,42840.73,15785.11,513,0
608,28,31706.95,28536.26,697,0
609,45,41752.66,11850.52,587,1
610,49,62587.76,18905.49,613,0
611,49,49040.33,11872.89,707,0
612,43,37127.51,6295.20,622,0
613,25,52611.22,12823.52,661,0
614,19,39781.54,15440.10,613,1
615,46,28022.96,11893.22,591,0
616,22,50356.76,24345.87,562,0
617,44,28895.56,22955.19,600,0
618,57,30431.45,17865.89,633,0
619,43,52824.44,12509.27,567,0
620,55,30292.68,23330.37,656,0
621,26,39728.28,0.00,695,0
622,18,47127.74,27745.63,644,0
623,48,42313.79,23779.69,606,0
624,46,25708.05,21445.00,534,0
625,55,35268.73,13570.55,593,1
626,53,29507.79,12507.70,619,0
627,44,42550.60,0.00,707,0
628,54,36772.42,13943.79,755,0
629,20,37372.14,20669.59,680,1
630,51,38060.39,12932.85,727,0
631,22,42403.04,7609.89,650,1
632,47,48090.02,17122.68,603,0
633,32,31294.72,20986.78,628,0
634,31,46555.73,12973.21,542,0
635,54,57248.06,22254.34,524,0
636,23,50724.69,14169.53,663,0
637,53,20000.00,18000.00,607,0
638,33,37952.69,9262.56,575,0
639,56,27273.60,10384.70,794,0
640,57,31304.89,4454.22,572,0
641,56,29289.67,13695.43,534,0
642,58,20000.00,11828.67,722,0
643,19,54965.45,6579.16,642,0
644,21,46841.06,23097.15,568,0
645,48,48383.68,23679.99,544,1
646,21,20000.00,14907.95,631,0
647,53,50460.58,26586.63,721,0
648,26,40015.58,11154.62,741,0
649,39,48364.93,8288.82,633,0
650,32,43420.69,14537.81,647,0
651,49,37922.86,12226.20,765,0
652,54,43848.52,5606.67,725,0
653,19,39679.18,8620.33,755,0
654,26,32176.73,3320.25,663,0
655,43,38811.12,8064.87,812,0
656,52,43420.31,15100.60,556,0
657,19,40542.53,13636.27,686,0
658,56,46813.71,11798.94,567,0
659,48,20135.77,17227.23,778,0
660,40,47758.12,14858.73,718,0
661,44,32734.92,16844.41,514,0
662,27,31925.19,18021.33,606,0
663,57,39660.90,8530.52,539,0
664,52,43151.60,19306.96,598,1
665,34,33506.35,10768.04,530,0
666,51,40255.48,29089.49,774,1
667,24,37472.12,0.00,619,0
668,21,38028.01,14268.41,645,0
669,39,62368.48,19222.06,737,0
670,54,34563.64,23395.33,727,1
671,25,32051.67,10012.71,592,0
672,18,37768.28,14896.87,800,0
673,58,56480.01,14382.73,616,0
674,54,40152.47,14879.35,778,0
675,41,39208.35,2831.75,582,0
676,20,32863.77,12782.79,588,0
677,46,37547.23,20616.30,524,1
678,40,29475.78,10360.90,696,0
679,44,27695.44,15020.31,533,0
680,51,42238.26,17315.16,613,0
681,18,55228.53,29722.89,619,0
682,44,46922.16,0.00,575,0
683,32,32409.00,11348.29,526,0
684,45,31493.52,16558.70,516,0
685,27,33404.41,18889.82,741,0
686,53,43286.05,20215.29,549,0
687,33,33489.21,19882.27,663,0
688,48,43056.21,14898.50,656,0
689,50,46532.06,9142.02,653,0
690,55,49335.86,26155.33,691,0
691,57,64488.04,18092.23,653,1
692,44,20000.00,15312.80,589,0
693,44,26950.77,15491.32,732,0
694,35,38755.40,14822.18,602,0
695,26,40945.83,22966.45,617,0
696,41,42521.33,6666.67,675,0
697,48,43119.17,15692.51,723,0
698,50,53311.11,22904.37,513,0
699,18,32013.51,24406.08,634,1
700,23,34030.30,0.00,725,0
701,28,39367.90,20714.63,724,0
702,54,27888.86,4057.34,575,0
703,24,37035.41,6041.39,641,0
704,20,35764.87,8118.95,565,0
705,44,40487.33,12401.20,648,0
706,28,31096.04,16446.71,626,0
707,19,39210.56,7720.95,691,1
708,47,50182.03,9473.25,631,0
709,34,36803.64,16823.76,502,0
710,48,35885.78,15997.53,565,0
711,18,29424.87,1726.26,571,0
712,49,55760.07,23356.20,649,0
713,51,30482.83,5775.70,844,0
714,37,38837.94,10620.75,631,0
715,31,43477.15,13068.03,528,0
716,20,35037.02,3287.10,591,0
717,51,37728.37,16590.97,670,1
718,56,36709.78,3376.90,679,0
719,25,25821.99,23239.79,705,0
720,19,31102.28,27642.31,550,1
721,35,47939.79,15678.13,543,1
722,20,33692.85,23285.64,539,1
723,23,33868.57,13978.34,653,0
724,50,40656.69,9675.01,578,0
725,50,40867.35,24203.62,727,0
726,19,34047.09,11948.43,703,0
727,40,33322.33,5877.54,682,0
728,49,51596.82,17723.43,669,0
729,35,31965.95,11157.84,546,0
730,56,38555.20,21916.37,547,0
731,26,46102.61,20289.45,504,0
732,35,36538.30,14837.83,544,0
733,21,38774.33,10824.11,833,0
734,53,38890.59,17906.56,684,0
735,26,46616.99,9612.36,704,0
736,29,34044.52,28763.22,598,1
737,27,27740.70,14034.55,633,0
738,25,32440.85,23998.72,622,0
739,21,40324.58,12321.31,519,0
740,54,45719.68,9065.32,675,1
741,46,32994.99,12098.89,627,0
742,39,42244.54,18298.59,672,0
743,34,33561.27,30205.14,724,1
744,47,38235.05,13896.39,618,0
745,21,40202.76,14025.57,566,0
746,18,53516.14,16739.62,656,0
747,23,41495.06,13709.05,593,0
748,58,42801.75,17279.58,748,0
749,56,44571.08,11816.14,618,0
750,21,45521.61,24892.85,732,1
751,30,39923.77,27917.06,547,1
752,52,20000.00,8425.58,639,0
753,26,52563.35,9447.74,519,0
754,36,20000.00,15171.05,684,0
755,57,37138.68,21685.31,790,0
756,53,47304.16,15689.04,706,0
757,48,42642.09,18557.54,650,0
758,54,49502.00,15382.61,549,0
759,59,31448.70,19196.44,655,0
760,18,35041.47,8899.84,543,0
761,57,53686.10,8045.30,652,0
762,47,54427.08,18482.17,586,0
763,29,35547.47,13761.05,850,0
764,21,45397.39,11836.32,623,0
765,23,43877.48,19133.53,720,0
766,56,30255.63,11252.93,701,0
767,38,51943.16,10051.79,635,0
768,25,47369.02,19406.63,711,0
769,48,35732.04,17548.82,850,0
770,49,50747.59,23210.23,583,0
771,29,53374.67,10331.52,681,0
772,37,39585.05,13762.77,519,0
773,58,37881.11,18065.36,741,0
774,31,40340.43,18511.36,641,0
775,26,46222.53,9318.14,676,0
776,49,37225.08,7178.00,677,0
